Termék neve,Nettó anyagköltség,Haszonkulcs,Nettó eladási Ár ,ÁFA,ÁFA-val növelt eladási ár,MOHU Köteles? 
,0,,0,,0,
Sió narancs 2dl,149,150%,373,27%,470,
Sió alma 2dl,149,150%,373,27%,470,
Sió őszibarack 2dl,149,150%,373,27%,470,
Sió Vitatigris ,228,150%,570,27%,720,
Márka meggy,130,150%,325,27%,460,checked
Márka szölő,130,150%,325,27%,460,checked
"7UP Zero 0,33",176,150%,439,27%,610,checked
"Canada Dry 0,33",181,150%,452,27%,620,checked
"Lipton tea Zöld,Bar.,Cit. 0,33",183,150%,458,27%,630,checked
Schwepps bitter Lemon,181,150%,452,27%,620,checked
"San Pellegrino 0,33",321,150%,802,27%,1070,checked
"Toma Alma, narancs 0,33",278,150%,694,27%,930,checked
Toma Barack,279,150%,699,27%,940,checked
"Pepsi Lemon Zero 0,5",222,150%,555,27%,750,checked
"Pepsi Cola 0,5",224,150%,559,27%,760,checked
"Pepsi Zero 0,5",222,150%,555,27%,750,checked
"Szentkirályi csendes 0,5",115,150%,287,27%,410,checked
"Szentkirályi dús 0,5",115,150%,287,27%,410,checked
"Szentkirályi csendes 0,75",166,150%,415,27%,580,checked
"Cherry Coke 0,33",220,150%,550,27%,750,checked
"Coca Cola 0,33",220,150%,550,27%,750,checked
"Coke Zero 0,33",219,150%,548,27%,750,checked
"Fanta Orange 0,33",220,150%,550,27%,750,checked
"Sprite 0,33",219,150%,548,27%,750,checked
"Cherry Coke 0,5",278,150%,695,27%,930,checked
"Cappy Mango-Passion 0,5",291,150%,728,27%,970,checked
"Cappy Meggy 0,5",292,150%,730,27%,980,checked
"Cappy Multivitamin 0,5",292,150%,730,27%,980,checked
"Fanta bodza 0,5",278,150%,695,27%,930,checked
"Fanta Orange 0,5",278,150%,695,27%,930,checked
"Fanta Exotic 0,5",278,150%,695,27%,930,checked
"Fuze tea Eper Aloe 0,5",269,150%,673,27%,900,checked
"Fuze tea Peach 0,5",268,150%,670,27%,900,checked
"Kinley Gyömbér Roz. 0,5",278,150%,695,27%,930,checked
"Natur Aqua savas 0,5",137,150%,343,27%,480,checked
"Natur Aqua mentes 0,5",137,150%,343,27%,480,checked
"Powerade 0,5",352,150%,880,27%,1170,checked
"Sprite 0,5",278,150%,695,27%,930,checked
"Coke 0,5",278,150%,695,27%,930,checked
"Hell minden 0,25",158,150%,395,27%,550,checked
Ice Coffee ,208,150%,520,27%,710,checked
Xixo tea,158,150%,395,27%,550,checked
"Rauch Tea 0,5 citrom",281,108%,584,27%,790,checked
"Rauch Tea 0,5 barackos",281,108%,584,27%,790,checked
Csoki szuflé Málnás töltött,360,120%,792,27%,1010,
Csoki Szuflé,405,120%,891,27%,1130,
Fánk vegyes íz,235,120%,516,27%,660,
Dubai fánk,268,120%,589,27%,750,
Muffin dupla csokis ,245,120%,539,27%,680,
Muffin Pisztáciás,325,120%,716,27%,910,
7DAYS dupla csokis croi,313,120%,689,27%,870,
7 DAYS Cream&Cookies,313,120%,689,27%,870,
7DAYS midi Epres croi,197,120%,433,27%,550,
7DAYS midi Csokis croi,197,120%,433,27%,550,
Cerbona Ét-Málna,89,150%,223,27%,280,
Cerbona Csokis,89,150%,223,27%,280,
Cerbona Meggyes,89,150%,223,27%,280,
Snickers ,233,120%,513,27%,650,
Twix,233,120%,513,27%,650,
Sportszelet XL,176,120%,387,27%,490,
KitKat ,228,120%,502,27%,640,
Milka Waffelini chokomax,138,150%,345,27%,440,
Milka Waffelini,138,150%,345,27%,440,
Knoppers Ostyaszelet,135,150%,338,27%,430,
Kinder Bueno,194,150%,485,27%,620,
Haribo Hab-eper,256,150%,640,27%,810,
Dörmi csokikrémes ,129,150%,323,27%,410,
Dörmi Tejkrémes,129,150%,323,27%,410,
Haribo Squidgies,256,120%,563,27%,720,
Haribo Love Hearts,256,120%,563,27%,720,
Haribo Tangfastics,256,120%,563,27%,720,
Haribo Wummis Fizz,256,120%,563,27%,720,
Haribo Starmix,256,120%,563,27%,720,
Orbit Sweetmint Drazsé,216,120%,475,27%,600,
CChups XXL nyalóka,200,120%,440,27%,560,
MAOAM Bloxx gyümi íz,76,150%,190,27%,240,
Haribo Gumimaci kis zacskó,50,150%,125,27%,160,
Haribo Pommes Fizz,259,120%,570,27%,720,
Haribo Barackos ,251,120%,552,27%,700,
Haribo Tropi frutti,256,120%,563,27%,720,
